Statement,Header,Field Name,Field Value
Statement,Data,Title,Transaction History
Statement,Data,Period,"April 8, 2021 - March 31, 2026"
Statement,Data,WhenGenerated,"2026-04-01, 17:11:42 EDT"
Summary,Header,Field Name,Field Value
Summary,Data,Base Currency,USD
Summary,Data,Starting Cash,1763.85
Summary,Data,Change,-1735.4662240829998
Summary,Data,Ending Cash,28.383775917
Transaction History,Header,Date,Account,Description,Transaction Type,Symbol,Quantity,Price,Price Currency,Gross Amount ,Commission,Net Amount
Transaction History,Data,2025-06-27,dm,DGS(US97717W2816) Payment in Lieu of Dividend - US Tax,Foreign Tax Withholding,DGS,-,-,-,-29.61,-,-29.61
Transaction History,Data,2025-06-26,dm,AVES(US0250723725) Cash Dividend USD 0.7442 per Share (Ordinary Dividend),Dividend,AVES,-,-,-,648.6,-,648.6
Transaction History,Data,2025-06-26,dm,AVES(US0250723725) Cash Dividend USD 0.7442 per Share - US Tax,Foreign Tax Withholding,AVES,-,-,-,-194.58,-,-194.58
Transaction History,Data,2025-06-26,dm,AVES(US0250723725) Payment in Lieu of Dividend (Ordinary Dividend),Payment in Lieu,AVES,-,-,-,40.93,-,40.93
Transaction History,Data,2025-06-26,dm,AVES(US0250723725) Payment in Lieu of Dividend - US Tax,Foreign Tax Withholding,AVES,-,-,-,-12.28,-,-12.28
Transaction History,Data,2025-06-26,dm,AVUV(US0250728773) Cash Dividend USD 0.4351 per Share (Ordinary Dividend),Dividend,AVUV,-,-,-,90.45,-,90.45
Transaction History,Data,2025-06-26,dm,AVUV(US0250728773) Cash Dividend USD 0.4351 per Share - US Tax,Foreign Tax Withholding,AVUV,-,-,-,-27.14,-,-27.14
Transaction History,Data,2025-06-26,dm,AVUV(US0250728773) Payment in Lieu of Dividend (Ordinary Dividend),Payment in Lieu,AVUV,-,-,-,148.37,-,148.37
Transaction History,Data,2025-06-26,dm,AVUV(US0250728773) Payment in Lieu of Dividend - US Tax,Foreign Tax Withholding,AVUV,-,-,-,-44.51,-,-44.51
Transaction History,Data,2025-06-26,dm,AVDV(US0250728021) Cash Dividend USD 1.445 per Share (Ordinary Dividend),Dividend,AVDV,-,-,-,0.86,-,0.86
Transaction History,Data,2025-06-26,dm,AVDV(US0250728021) Cash Dividend USD 1.445 per Share - US Tax,Foreign Tax Withholding,AVDV,-,-,-,-0.26,-,-0.26
Transaction History,Data,2025-06-26,dm,AVDV(US0250728021) Payment in Lieu of Dividend (Ordinary Dividend),Payment in Lieu,AVDV,-,-,-,1478.24,-,1478.24
Transaction History,Data,2025-06-26,dm,AVDV(US0250728021) Payment in Lieu of Dividend - US Tax,Foreign Tax Withholding,AVDV,-,-,-,-443.47,-,-443.47
Transaction History,Data,2025-06-04,dm,USD Debit Interest for May-2025,Debit Interest,-,-,-,-,-502.85,-,-502.85
Transaction History,Data,2025-06-04,dm,USD IBKR Managed Securities (SYEP) Interest for May-2025,Credit Interest,-,-,-,-,0.08,-,0.08
Transaction History,Data,2025-05-08,dm,Net Amount in Base from Forex Trade: -0.12 EUR.USD,Forex Trade Component,EUR.USD,-0.12,1.13025,USD,8.819999999999939E-4,-,8.819999999999939E-4
Transaction History,Data,2025-05-05,dm,USD Debit Interest for Apr-2025,Debit Interest,-,-,-,-,-330.49,-,-330.49
Transaction History,Data,2025-05-05,dm,USD IBKR Managed Securities (SYEP) Interest for Apr-2025,Credit Interest,-,-,-,-,0.79,-,0.79
Transaction History,Data,2025-05-05,dm,EUR IBKR Managed Securities (SYEP) Interest for Apr-2025,Credit Interest,-,-,-,-,0.13577999999999998,-,0.13577999999999998
Transaction History,Data,2025-05-05,dm,Electronic Fund Transfer,Deposit,-,-,-,-,6200.0,-,6200.0
Transaction History,Data,2025-05-05,dm,AVANTIS INTL S/C VALUE ETF,Buy,AVDV,68.0,73.2,USD,-4977.6,-0.36698525,-4977.96698525
Transaction History,Data,2025-05-05,dm,AVANTIS INTL S/C VALUE ETF,Buy,AVDV,2.0E-4,73.23,USD,-0.014646,-4.9E-8,-0.014646049
Transaction History,Data,2025-05-05,dm,AVANTIS INTL S/C VALUE ETF,Buy,AVDV,0.3058,73.2,USD,-22.38456,-7.5227E-5,-22.384635227
Transaction History,Data,2025-04-09,dm,SPDR MSCI WORLD ACC,Buy,SWRD,746.0,33.872,USD,-25268.51,-12.783455,-25281.293455
Transaction History,Data,2025-04-09,dm,SPDR MSCI WORLD ACC,Buy,SWRD,0.9293,33.88,USD,-31.484684,-0.015928202,-31.500612202000003
Transaction History,Data,2025-04-09,dm,JPM GL EQ MULTIFAC UCITS ETF,Buy,JPGL,699.0,35.83,USD,-25045.17,-13.72961765,-25058.899617649997
Transaction History,Data,2025-04-09,dm,JPM GL EQ MULTIFAC UCITS ETF,Buy,JPGL,7.0,35.83,USD,-250.81,-0.21669145,-251.02669145000002
Transaction History,Data,2025-04-09,dm,JPM GL EQ MULTIFAC UCITS ETF,Buy,JPGL,0.1121,35.83,USD,-4.016543,-0.002030691,-4.018573691
Transaction History,Data,2025-04-09,dm,ISHARES CORE EM IMI ACC,Buy,EIMI,654.0,30.8713,USD,-20189.83,-10.225715,-20200.055715000002
Transaction History,Data,2025-04-09,dm,ISHARES CORE EM IMI ACC,Buy,EIMI,0.3293,30.88,USD,-10.168784,-0.005150252,-10.173934252
Transaction History,Data,2025-04-09,dm,SPDR USA S/C VALUE,Buy,USSC,186.0,53.96,USD,-10036.56,-5.05548,-10041.61548
Transaction History,Data,2025-04-09,dm,SPDR USA S/C VALUE,Buy,USSC,1.0,53.96,USD,-53.96,-0.234633599,-54.194633599
Transaction History,Data,2025-04-09,dm,SPDR USA S/C VALUE,Buy,USSC,0.1756,53.96,USD,-9.475376,-0.004772808,-9.480148808000001
Transaction History,Data,2025-04-09,dm,AVANTIS INTL S/C VALUE ETF,Buy,AVDV,161.0,62.4,USD,-10046.4,-0.603520172,-10047.003520172
Transaction History,Data,2025-04-09,dm,AVANTIS INTL S/C VALUE ETF,Buy,AVDV,0.8577,62.49,USD,-53.597673,-0.003215151,-53.600888151
Transaction History,Data,2025-04-09,dm,AVANTIS EMERGING MARKETS VAL,Buy,AVES,0.1589,42.16,USD,-6.699224,-0.067080569,-6.766304569
Transaction History,Data,2025-04-09,dm,AVANTIS EMERGING MARKETS VAL,Buy,AVES,1.0,42.07,USD,-42.07,-0.283461771,-42.353461771
Transaction History,Data,2025-04-09,dm,AVANTIS EMERGING MARKETS VAL,Buy,AVES,139.0,42.07,USD,-5847.73,-0.034194,-5847.764193999999
Transaction History,Data,2025-04-09,dm,AVANTIS EMERGING MARKETS VAL,Buy,AVES,100.0,42.035,USD,-4203.5,-0.232300938,-4203.732300938
Transaction History,Data,2025-04-08,dm,Net Amount in Base from Forex Trade: -0.53 EUR.USD,Forex Trade Component,EUR.USD,-0.53,1.09055,USD,-0.002782500000000132,-,-0.002782500000000132
